名称,代码,权重,区间收益,年化波动,最大回撤,夏普比率,卡玛比率
组合,PORTFOLIO,100%,-5.06%,23.63%,-14.55%,-1.10,-1.61
黄金ETF,518880.SH,15%,4.22%,44.82%,-16.87%,0.66,1.41
黄金股ETF,159562.SZ,10%,3.23%,62.05%,-30.73%,0.54,0.58
军工龙头ETF,512710.SH,8%,-5.12%,50.46%,-22.37%,-0.34,-1.06
通信设备ETF,515880.SH,12%,-65.70%,155.20%,-68.91%,-2.19,-1.45
半导体ETF,512480.SH,5%,-1.90%,34.92%,-14.91%,-0.17,-0.63
人工智能ETF,159819.SZ,3%,-3.86%,29.90%,-12.27%,-0.61,-1.49
电网设备ETF,159326.SZ,10%,22.61%,38.32%,-12.58%,2.93,14.73
电力ETF,159611.SZ,5%,13.49%,17.69%,-5.39%,3.74,17.00
恒生科技ETF,513130.SH,5%,-17.05%,24.33%,-19.90%,-3.99,-3.10
港股创新药ETF,513120.SH,2%,-8.70%,32.42%,-19.06%,-1.37,-1.96
货币基金,CASH,25%,0.39%,0.00%,0.00%,-,-
沪深300,000300.SH,基准,-3.19%,12.89%,-4.67%,-1.41,-3.29
中证800,000906.SH,基准,-1.94%,15.30%,-5.49%,-0.73,-1.75
