code,name,reason
026226.OF,东海增裕C,数据不足
026220.OF,东海增裕A,数据不足
026098.OF,前海开源安和C,数据不足
026097.OF,前海开源安和A,数据不足
010579.OF,中金恒嘉稳健3个月持有A,数据不足
026007.OF,中金恒嘉稳健3个月持有C,数据不足
026046.OF,华商安元C,数据不足
026052.OF,信澳鑫丰C,数据不足
026051.OF,信澳鑫丰A,数据不足
026045.OF,华商安元A,数据不足
026135.OF,泰康裕泽A,数据不足
026136.OF,泰康裕泽C,数据不足
026023.OF,汇泉安悦90天持有A,数据不足
026024.OF,汇泉安悦90天持有C,数据不足
026042.OF,天弘普利90天持有C,数据不足
026041.OF,天弘普利90天持有A,数据不足
026162.OF,招商安琪C,数据不足
026161.OF,招商安琪A,数据不足
026049.OF,华夏卓安A,数据不足
026050.OF,华夏卓安C,数据不足
025977.OF,大摩添益A,数据不足
025978.OF,大摩添益C,数据不足
025740.OF,国泰利享鑫益90天持有C,数据不足
025739.OF,国泰利享鑫益90天持有A,数据不足
026039.OF,长信稳健添益A,数据不足
026040.OF,长信稳健添益C,数据不足
026033.OF,平安添元6个月持有A,数据不足
026034.OF,平安添元6个月持有C,数据不足
025991.OF,广发集辉A,数据不足
025992.OF,广发集辉C,数据不足
025962.OF,永赢优选增强A,数据不足
025963.OF,永赢优选增强C,数据不足
024569.OF,财通资管通达稳鑫3个月持有型C,数据不足
026026.OF,华夏六个月滚动持有C,数据不足
024995.OF,汇添富稳颐优选A,数据不足
024996.OF,汇添富稳颐优选C,数据不足
025714.OF,富国安元120天持有C,数据不足
025713.OF,富国安元120天持有A,数据不足
025156.OF,华泰保兴兴元180天封闭A,数据不足
025157.OF,华泰保兴兴元180天封闭C,数据不足
025344.OF,民生加银睿通3个月C,数据不足
023020.OF,南方臻利3个月定开E,数据不足
023025.OF,南方升元中短期利率债D,数据不足
023012.OF,南方信元C,数据不足
022876.OF,南方光元C,数据不足
022872.OF,南方耀元C,数据不足
022828.OF,南方赢元D,数据不足
020809.OF,泰康悦享60天持有D,数据不足
021834.OF,鹏扬淳利定期开放D,数据不足
021743.OF,鹏扬淳享D,数据不足
021487.OF,工银瑞和3个月定开D,数据不足
020490.OF,工银中高等级信用债D,数据不足
020077.OF,建信稳定鑫利D,数据不足
017582.OF,中航瑞融ESG一年定开债C,数据不足
018684.OF,汇泉安盈回报E,数据不足
017777.OF,工银开元利率债F,数据不足
017614.OF,工银瑞福纯债F,数据不足
014487.OF,汇添富淳享一年定开C,数据不足
015363.OF,汇添富鑫裕一年定开C,数据不足
012425.OF,汇添富鑫弘定开C,数据不足
013875.OF,鑫元合享纯债D,数据不足
012489.OF,招商招顺纯债D,数据不足
012133.OF,招商添浩D,数据不足
