ts_code,quarter,reason
018840.OF,2024Q1,无数据
018841.OF,2024Q1,无数据
023364.OF,2024Q1,无数据
023364.OF,2024Q2,无数据
023364.OF,2024Q3,无数据
023364.OF,2024Q4,无数据
022399.OF,2024Q1,无数据
022399.OF,2024Q2,无数据
022399.OF,2024Q3,无数据
022399.OF,2024Q4,无数据
023256.OF,2024Q1,无数据
023256.OF,2024Q2,无数据
023256.OF,2024Q3,无数据
023256.OF,2024Q4,无数据
022400.OF,2024Q1,无数据
022400.OF,2024Q2,无数据
022400.OF,2024Q3,无数据
022400.OF,2024Q4,无数据
015434.OF,2024Q1,无数据
015434.OF,2024Q2,无数据
015434.OF,2024Q3,无数据
015434.OF,2024Q4,无数据
015435.OF,2024Q1,无数据
015435.OF,2024Q2,无数据
015435.OF,2024Q3,无数据
015435.OF,2024Q4,无数据
022111.OF,2024Q1,无数据
022111.OF,2024Q2,无数据
022111.OF,2024Q3,无数据
022111.OF,2024Q4,无数据
015315.OF,2024Q1,无数据
015315.OF,2024Q2,无数据
015315.OF,2024Q3,无数据
015315.OF,2024Q4,无数据
015316.OF,2024Q1,无数据
015316.OF,2024Q2,无数据
015316.OF,2024Q3,无数据
015316.OF,2024Q4,无数据
